generation=324, runtime=1612.31s, best_objective=1454943.188300, note=checkpoint
generation=325, runtime=1616.28s, best_objective=1454943.188300, note=checkpoint
generation=326, runtime=1620.67s, best_objective=1454943.188300, note=checkpoint
generation=327, runtime=1624.90s, best_objective=1454943.188300, note=checkpoint
generation=328, runtime=1629.83s, best_objective=1454943.188300, note=checkpoint
generation=329, runtime=1633.80s, best_objective=1454943.188300, note=checkpoint
generation=330, runtime=1637.48s, best_objective=1454943.188300, note=checkpoint
generation=331, runtime=1641.19s, best_objective=1454943.188300, note=checkpoint
generation=332, runtime=1644.72s, best_objective=1454943.188300, note=checkpoint
generation=333, runtime=1648.54s, best_objective=1454943.188300, note=checkpoint
generation=334, runtime=1653.08s, best_objective=1454943.188300, note=checkpoint
generation=335, runtime=1658.94s, best_objective=1454943.188300, note=checkpoint
generation=336, runtime=1663.86s, best_objective=1454943.188300, note=checkpoint
generation=337, runtime=1668.00s, best_objective=1454943.188300, note=checkpoint
generation=338, runtime=1672.60s, best_objective=1454943.188300, note=checkpoint
generation=339, runtime=1680.68s, best_objective=1454943.188300, note=checkpoint
generation=340, runtime=1685.98s, best_objective=1454943.188300, note=checkpoint
generation=341, runtime=1690.87s, best_objective=1454943.188300, note=checkpoint
generation=342, runtime=1700.00s, best_objective=1454943.188300, note=checkpoint
generation=343, runtime=1705.66s, best_objective=1454943.188300, note=checkpoint
generation=344, runtime=1710.84s, best_objective=1454943.188300, note=checkpoint
generation=345, runtime=1717.05s, best_objective=1454943.188300, note=checkpoint
generation=346, runtime=1723.54s, best_objective=1454943.188300, note=checkpoint
generation=347, runtime=1729.63s, best_objective=1454943.188300, note=checkpoint
generation=348, runtime=1734.41s, best_objective=1454943.188300, note=checkpoint
generation=349, runtime=1738.18s, best_objective=1454943.188300, note=checkpoint
generation=350, runtime=1770.87s, best_objective=1454827.872800, note=elitism 1/3
generation=350, runtime=1797.40s, best_objective=1454827.872800, note=elitism 2/3
generation=350, runtime=1813.89s, best_objective=1454827.872800, note=elitism 3/3
generation=350, runtime=1813.89s, best_objective=1454827.872800, note=checkpoint
generation=351, runtime=1817.90s, best_objective=1454827.872800, note=checkpoint
generation=352, runtime=1821.88s, best_objective=1454827.872800, note=checkpoint
generation=353, runtime=1825.86s, best_objective=1454827.872800, note=checkpoint
generation=354, runtime=1829.63s, best_objective=1454827.872800, note=checkpoint
generation=355, runtime=1833.67s, best_objective=1454827.872800, note=checkpoint
generation=356, runtime=1837.45s, best_objective=1454827.872800, note=checkpoint
generation=357, runtime=1841.17s, best_objective=1454827.872800, note=checkpoint
generation=358, runtime=1845.07s, best_objective=1454827.872800, note=checkpoint
generation=359, runtime=1848.96s, best_objective=1454827.872800, note=checkpoint
generation=360, runtime=1853.01s, best_objective=1454827.872800, note=checkpoint
generation=361, runtime=1857.37s, best_objective=1454827.872800, note=checkpoint
generation=362, runtime=1861.46s, best_objective=1454827.872800, note=checkpoint
generation=363, runtime=1865.56s, best_objective=1454827.872800, note=checkpoint
generation=364, runtime=1869.59s, best_objective=1454827.872800, note=checkpoint
generation=365, runtime=1873.79s, best_objective=1454827.872800, note=checkpoint
generation=366, runtime=1877.68s, best_objective=1454827.872800, note=checkpoint
generation=367, runtime=1881.67s, best_objective=1454827.872800, note=checkpoint
generation=368, runtime=1885.95s, best_objective=1454827.872800, note=checkpoint
generation=369, runtime=1890.46s, best_objective=1454827.872800, note=checkpoint
generation=370, runtime=1894.73s, best_objective=1454827.872800, note=checkpoint
generation=371, runtime=1898.18s, best_objective=1454827.872800, note=checkpoint
generation=372, runtime=1901.72s, best_objective=1454827.872800, note=checkpoint
generation=373, runtime=1905.26s, best_objective=1454827.872800, note=checkpoint
generation=374, runtime=1909.08s, best_objective=1454827.872800, note=checkpoint
generation=375, runtime=1912.94s, best_objective=1454827.872800, note=checkpoint
generation=376, runtime=1916.43s, best_objective=1454827.872800, note=checkpoint
generation=377, runtime=1920.04s, best_objective=1454827.872800, note=checkpoint
generation=378, runtime=1923.55s, best_objective=1454827.872800, note=checkpoint
generation=379, runtime=1927.02s, best_objective=1454827.872800, note=checkpoint
generation=380, runtime=1930.60s, best_objective=1454827.872800, note=checkpoint
generation=381, runtime=1934.16s, best_objective=1454827.872800, note=checkpoint
generation=382, runtime=1937.55s, best_objective=1454827.872800, note=checkpoint
